trade_time,total_nav,total_nav_hfq,cum_return_pct,profit,profit_hfq
2024-03-26 09:59:44,306960.78,306960.78,206.96,206960.78,206960.78
2024-04-01 11:27:47,312476.74,312476.74,212.48,212476.74,212476.74
2024-04-03 09:37:53,300293.74,300293.74,200.29,200293.74,200293.74
2024-04-24 13:01:51,296974.04,296974.04,196.97,196974.04,196974.04
2024-04-24 13:01:56,296744.04,296744.04,196.74,196744.04,196744.04
2024-05-15 09:31:22,295631.66,295631.66,195.63,195631.66,195631.66
2024-05-17 09:31:13,288772.52,288772.52,188.77,188772.52,188772.52
2024-05-20 09:32:25,289932.33,289932.33,189.93,189932.33,189932.33
2024-05-21 10:12:19,287826.46,287826.46,187.83,187826.46,187826.46
2024-05-22 09:31:40,287737.85,287737.85,187.74,187737.85,187737.85
2024-06-04 09:31:10,285813.46,285813.46,185.81,185813.46,185813.46
2024-06-12 09:32:15,281655.26,281655.26,181.66,181655.26,181655.26
2024-06-14 09:32:01,280584.71,280584.71,180.58,180584.71,180584.71
2024-06-20 09:31:35,266946.85,266946.85,166.95,166946.85,166946.85
2024-07-16 14:19:19,261327.34,261327.34,161.33,161327.34,161327.34
2024-07-17 07:45:39,258967.56,258967.56,158.97,158967.56,158967.56
2024-08-05 13:00:36,254606.7,254606.7,154.61,154606.7,154606.7
2024-09-09 10:45:49,253695.12,253695.12,153.7,153695.12,153695.12
2024-10-16 09:31:41,252772.37,252772.37,152.77,152772.37,152772.37
2024-11-06 09:30:20,253060.52,253060.52,153.06,153060.52,153060.52
2025-01-20 09:31:26,286421.03,286421.03,186.42,186421.03,186421.03
2025-01-22 09:31:11,285542.22,285542.22,185.54,185542.22,185542.22
2025-02-05 09:31:28,281897.15,281897.15,181.9,181897.15,181897.15
2025-02-19 13:17:36,370994.8,370994.8,270.99,270994.8,270994.8
2025-02-21 13:22:01,369442.49,369442.49,269.44,269442.49,269442.49
2025-03-11 09:30:30,322272.72,322272.72,222.27,222272.72,222272.72
2025-03-18 09:31:44,321088.85,321088.85,221.09,221088.85,221088.85
2025-03-28 09:31:50,319826.07,319826.07,219.83,219826.07,219826.07
2025-04-14 13:01:00,310672.45,310672.45,210.67,210672.45,210672.45
2025-04-16 09:34:36,308692.22,308692.22,208.69,208692.22,208692.22
2025-05-12 07:45:49,307555.86,307555.86,207.56,207555.86,207555.86
2025-05-12 09:32:06,317139.01,317139.01,217.14,217139.01,217139.01
2025-05-23 13:00:57,318048.77,318048.77,218.05,218048.77,218048.77
2025-05-28 10:07:37,299644.03,299644.03,199.64,199644.03,199644.03
2025-06-10 09:31:34,298535.43,298535.43,198.54,198535.43,198535.43
2025-06-10 10:12:12,297450.81,297450.81,197.45,197450.81,197450.81
2025-06-11 07:47:01,292654.34,292654.34,192.65,192654.34,192654.34
2025-06-11 13:51:32,302494.26,302494.26,202.49,202494.26,202494.26
2025-06-18 10:31:03,301387.51,301387.51,201.39,201387.51,201387.51
2025-06-19 07:46:08,300288.87,300288.87,200.29,200288.87,200288.87
2025-06-19 10:11:43,299213.33,299213.33,199.21,199213.33,199213.33
2025-06-25 09:47:36,325857.01,325857.01,225.86,225857.01,225857.01
2025-06-25 10:07:00,324987.01,324987.01,224.99,224987.01,224987.01
2025-07-02 14:06:56,339746.82,339746.82,239.75,239746.82,239746.82
